,organization,city,state,lat_long,latitude,longitude
0,Tucson Sentinel,Tucson,Arizona,"[32.2226066, -110.9747108]",32.2226066,-110.9747108
1,Magnolia Reporter,Magnolia,Arkansas,"[37.09024, -95.712891]",37.09024,-95.712891
2,Alhambra Source,Alhambra,California,"[34.095287, -118.1270146]",34.095287,-118.1270146
3,Benito Link,Hollister,California,"[36.06309600000001, -95.881996]",36.06309600000001,-95.881996
4,Berkeleyside,Berkeley,California,"[37.8715226, -122.273042]",37.8715226,-122.273042
5,By the Bay,San Francisco,California,"[37.7749295, -122.4194155]",37.7749295,-122.4194155
6,Coachella Valley Independent,Cathedral City,California,"[33.7805388, -116.4668036]",33.7805388,-116.4668036
7,Coronado Times,Coronado,California,"[32.6858853, -117.1830891]",32.6858853,-117.1830891
8,Escondido Grapevine,Escondido,California,"[33.1192068, -117.086421]",33.1192068,-117.086421
9,Eville Eye,Emeryville,California,"[37.8395028, -122.2892278]",37.8395028,-122.2892278
10,Lake County News,Lakeport,California,"[39.0429506, -122.9158293]",39.0429506,-122.9158293
11,Larchmont Buzz,Los Angeles,California,"[34.0522342, -118.2436849]",34.0522342,-118.2436849
12,Long Beach Post,Long Beach,California,"[33.7700504, -118.1937395]",33.7700504,-118.1937395
13,Mendocino Voice,Ukiah,California,"[39.1501709, -123.2077831]",39.1501709,-123.2077831
14,Menifee 24-7,Menifee,California,"[33.6971468, -117.185294]",33.6971468,-117.185294
15,Mission Local,San Francisco,California,"[37.7749295, -122.4194155]",37.7749295,-122.4194155
16,Noozhawk,Santa Barbara,California,"[34.4208305, -119.6981901]",34.4208305,-119.6981901
17,OC Indy,Long Beach,California,"[33.7700504, -118.1937395]",33.7700504,-118.1937395
18,On the 101,Central coast,California,"[35.3611, -119.16700000000003]",35.3611,-119.16700000000003
19,San Francisco Public Press,San Francisco,California,"[37.7749295, -122.4194155]",37.7749295,-122.4194155
20,The Eastsider,Los Angeles,California,"[34.0522342, -118.2436849]",34.0522342,-118.2436849
21,Times of San Diego,San Diego,California,"[32.715738, -117.1610838]",32.715738,-117.1610838
22,Voice of Orange County,Santa Ana,California,"[33.7454725, -117.867653]",33.7454725,-117.867653
23,Voices: River City,Sacramento,California,"[38.5815719, -121.4943996]",38.5815719,-121.4943996
24,Edge North,Yellowknife,Canada,"[62.4539717, -114.3717887]",62.4539717,-114.3717887
25,The Sprawl,Calgary,Canada,"[51.0486151, -114.0708459]",51.0486151,-114.0708459
26,Aspen Journalism,Aspen,Colorado,"[39.1910983, -106.8175387]",39.1910983,-106.8175387
27,Denverite,Denver,Colorado,"[39.7392358, -104.990251]",39.7392358,-104.990251
28,Empowering Colorado,Denver,Colorado,"[39.7392358, -104.990251]",39.7392358,-104.990251
29,Golden Today,Golden,Colorado,"[39.755543, -105.2210997]",39.755543,-105.2210997
