,organization,city,state,$,lat_long,latitude,longitude
0,The Center for Michigan Inc.,Ann Arbor,Michigan,$200K - $250K,"[42.2808256, -83.7430378]",42.2808256,-83.7430378
1,Regents of the University of Michigan,Ann Arbor,Michigan,< $75K,"[42.2808256, -83.7430378]",42.2808256,-83.7430378
2,New Michigan Media,Detroit,Michigan,< $75K,"[42.331427, -83.0457538]",42.331427,-83.0457538
3,Wayne State University,Detroit,Michigan,$75K - $200K,"[42.331427, -83.0457538]",42.331427,-83.0457538
4,Detroit Educational Television Foundation,Wixom,Michigan,< $75K,"[42.5247555, -83.5363268]",42.5247555,-83.5363268
5,Mississippi News and Information Corporation,Ridgeland,Mississippi,$200K - $250K,"[32.4284761, -90.1323087]",32.4284761,-90.1323087
6,Online Journalism Project,New Haven,Connecticut,$75K - $200K,"[41.308274, -72.9278835]",41.308274,-72.9278835
7,CALmatters,Sacramento,California,$200K - $250K,"[38.5815719, -121.4943996]",38.5815719,-121.4943996
8,The Associated Press,New York,New York,> $250K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
9,Online News Association,Washington,District of Columbia,> $250K,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
10,New York Public Radio,New York,New York,> $250K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
11,The Center for Investigative Reporting,Emeryville,California,$75K - $200K,"[37.8395028, -122.2892278]",37.8395028,-122.2892278
12,CultureWorks Greater Philadelphia,Philadelphia,Pennsylvania,$75K - $200K,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
13,National Association of Broadcasters,Washington,District of Columbia,$200K - $250K,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
14,LION Publishers,Tucson,Arizona,$75K - $200K,"[32.2226066, -110.9747108]",32.2226066,-110.9747108
15,Solutions Journalism Network,New York,New York,$200K - $250K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
16,Institute for Nonprofit News,Los Angeles,California,$75K - $200K,"[34.0522342, -118.2436849]",34.0522342,-118.2436849
17,Wayne State University,Detroit,Michigan,> $250K,"[42.331427, -83.0457538]",42.331427,-83.0457538
18,Regents of the University of Michigan,Ann Arbor,Michigan,$75K - $200K,"[42.2808256, -83.7430378]",42.2808256,-83.7430378
19,Detroit Educational Television Foundation,Wixom,Michigan,$75K - $200K,"[42.5247555, -83.5363268]",42.5247555,-83.5363268
20,The Center for Michigan Inc.,Ann Arbor,Michigan,> $250K,"[42.2808256, -83.7430378]",42.2808256,-83.7430378
21,New Michigan Media,Detroit,Michigan,$75K - $200K,"[42.331427, -83.0457538]",42.331427,-83.0457538
22,MinnPost,Minneapolis,Minnesota,< $75K,"[44.977753, -93.2650108]",44.977753,-93.2650108
23,Long Beach Community Foundation,Long Beach,California,$75K - $200K,"[33.7700504, -118.1937395]",33.7700504,-118.1937395
24,Community Foundation for Southeast Michigan,Detroit,Michigan,> $250K,"[42.331427, -83.0457538]",42.331427,-83.0457538
25,Chalkbeat Inc.,New York,New York,$75K - $200K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
26,Arizona State University Foundation,Tempe,Arizona,> $250K,"[33.4255104, -111.9400054]",33.4255104,-111.9400054
27,The Carole Kneeland Project for Responsible Television Journalism,Austin,Texas,< $75K,"[30.267153, -97.7430608]",30.267153,-97.7430608
28,The Miami Foundation,Miami,Florida,> $250K,"[25.7616798, -80.1917902]",25.7616798,-80.1917902
29,"WHYY, Inc.",Philadelphia,Pennsylvania,$75K - $200K,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
30,University Radio Foundation Inc,Charlotte,North Carolina,$75K - $200K,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
31,The Corporation of Mercer University,Macon,Georgia,> $250K,"[32.8406946, -83.6324022]",32.8406946,-83.6324022
32,The GroundTruth Project,Boston,Massachusetts,$75K - $200K,"[42.3600825, -71.0588801]",42.3600825,-71.0588801
33,Mississippi News and Information Corporation,Ridgeland,Mississippi,< $75K,"[32.4284761, -90.1323087]",32.4284761,-90.1323087
34,"News Revenue Hub, Inc.",San Diego,California,$75K - $200K,"[32.715738, -117.1610838]",32.715738,-117.1610838
35,Institute for Nonprofit News,Los Angeles,California,$75K - $200K,"[34.0522342, -118.2436849]",34.0522342,-118.2436849
36,"Tpf Special Assets Fund dba The Lenfest Institute for Journalism, LLC",Philadelphia,Pennsylvania,$200K - $250K,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
37,Latino Public Radio Consortium,Lake Mary,Florida,< $75K,"[28.7588833, -81.3178446]",28.7588833,-81.3178446
38,National Association of Hispanic Journalists,Washington,District of Columbia,< $75K,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
39,Voice of San Diego,San Diego,California,< $75K,"[32.715738, -117.1610838]",32.715738,-117.1610838
40,The Center for Investigative Reporting,Emeryville,California,> $250K,"[37.8395028, -122.2892278]",37.8395028,-122.2892278
41,The GroundTruth Project,Boston,Massachusetts,$200K - $250K,"[42.3600825, -71.0588801]",42.3600825,-71.0588801
42,Trustees of Boston University,Boston,Massachusetts,$200K - $250K,"[42.3600825, -71.0588801]",42.3600825,-71.0588801
43,Institute for Nonprofit News,Los Angeles,California,$75K - $200K,"[34.0522342, -118.2436849]",34.0522342,-118.2436849
44,ProPublica,New York,New York,$75K - $200K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
45,"Media Impact Funders, Inc.",Philadelphia,Pennsylvania,$75K - $200K,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
46,"News Revenue Hub, Inc.",San Diego,California,$75K - $200K,"[32.715738, -117.1610838]",32.715738,-117.1610838
47,Solutions Journalism Network,New York,New York,$75K - $200K,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
48,American Journalism Project,Austin,Texas,$75K - $200K,"[30.267153, -97.7430608]",30.267153,-97.7430608
49,LION Publishers,Tucson,Arizona,< $75K,"[32.2226066, -110.9747108]",32.2226066,-110.9747108
50,American Journalism Project,Austin,Texas,,"[30.267153, -97.7430608]",30.267153,-97.7430608
51,"Tpf Special Assets Fund dba The Lenfest Institute for Journalism, LLC",Philadelphia,Pennsylvania,,"[39.9525839, -75.1652215]",39.9525839,-75.1652215
52,THE CITY,New York,New York,,"[40.7127753, -74.0059728]",40.7127753,-74.0059728
53,Radio and Television News Directors Foundation,Washington,District of Columbia,,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
54,WGBH Educational Foundation,Boston,Massachusetts,,"[42.3600825, -71.0588801]",42.3600825,-71.0588801
55,"YX, Inc.",Menlo Park,California,,"[37.4529598, -122.1817252]",37.4529598,-122.1817252
56,Online News Association,Washington,District of Columbia,,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
