,Request ID,Grantee,Amount Funded,Grant Start Date,Grant End Date,Project Title,Applicant Type,Grantee City,Grantee State,Strategy Area,Grant Award Amount by Category
26,2014-50209,The Center for Michigan Inc.,220000,2015-01-01 00:00:00,2016-12-31 00:00:00,Detroit Journalism Cooperative,,Ann Arbor,Michigan,Journalism/Journalistic Excellence/Local,$200K - $250K
27,2014-50210,Regents of the University of Michigan,50000,2015-01-01 00:00:00,2016-12-31 00:00:00,Detroit Journalism Cooperative,,Ann Arbor,Michigan,Journalism/Journalistic Excellence/Local,< $75K
28,2014-50239,New Michigan Media,60000,2015-01-01 00:00:00,2016-12-31 00:00:00,Detroit Journalism Cooperative,,Detroit,Michigan,Journalism/Journalistic Excellence/Local,< $75K
29,2014-50240,Wayne State University,120000,2015-01-01 00:00:00,2016-12-31 00:00:00,Detroit Journalism Cooperative,,Detroit,Michigan,Journalism/Journalistic Excellence/Local,$75K - $200K
30,2014-50241,Detroit Educational Television Foundation,50000,2015-01-01 00:00:00,2016-12-31 00:00:00,Detroit Journalism Cooperative,,Wixom,Michigan,Journalism/Journalistic Excellence/Local,< $75K
41,2015-50620,Mississippi News and Information Corporation,250000,2015-04-15 00:00:00,2016-04-15 00:00:00,Mississippi Today,,Ridgeland,Mississippi,Journalism/Journalistic Excellence/Local,$200K - $250K
46,2015-50780,Online Journalism Project,150000,2015-07-01 00:00:00,2017-07-31 00:00:00,Low-Power FM/Local News Sustainability Project,,New Haven,Connecticut,Journalism/Journalistic Excellence/Local,$75K - $200K
48,2015-50804,CALmatters,250000,2015-07-01 00:00:00,2017-01-31 00:00:00,Support local statehouse news startup in California,,Sacramento,California,Journalism/Journalistic Excellence/Local,$200K - $250K
65,2015-51244,The Associated Press,400000,2015-12-31 00:00:00,2019-09-30 00:00:00,AP Data Services Team,,New York,New York,Journalism/Journalistic Excellence/Local,> $250K
69,2015-51329,Online News Association,828000,2015-09-15 00:00:00,2018-06-30 00:00:00,ONA Local,,Washington,District of Columbia,Journalism/Journalistic Excellence/Local,> $250K
77,2015-51386,New York Public Radio,400000,2015-01-01 00:00:00,2017-12-30 00:00:00,Project Carbon: WNYC Match,,New York,New York,Journalism/Journalistic Excellence/Local,> $250K
79,2015-51475,The Center for Investigative Reporting,175000,2015-11-01 00:00:00,2016-11-30 00:00:00,Training and co-production of audio stories,,Emeryville,California,Journalism/Journalistic Excellence/Local,$75K - $200K
87,2015-51851,CultureWorks Greater Philadelphia,106000,2015-12-01 00:00:00,2017-12-31 00:00:00,Mobile journalism guide,,Philadelphia,Pennsylvania,Journalism/Journalistic Excellence/Local,$75K - $200K
123,2016-53181,National Association of Broadcasters,208333,2016-10-15 00:00:00,2019-04-01 00:00:00,PILOT Innovation Challenge,,Washington,District of Columbia,Journalism/Journalistic Excellence/Local,$200K - $250K
129,2016-53331,LION Publishers,200000,2016-11-11 00:00:00,2018-12-31 00:00:00,The Local Independent Online News Publishers,,Tucson,Arizona,Journalism/Journalistic Excellence/Local,$75K - $200K
131,2016-53369,Solutions Journalism Network,240000,2016-10-31 00:00:00,2017-11-30 00:00:00,Philadelphia Collaborative Reporting Project,,New York,New York,Journalism/Journalistic Excellence/Local,$200K - $250K
135,2016-53400,Institute for Nonprofit News,180000,2016-10-20 00:00:00,2018-06-30 00:00:00,Institute for NonProfit News Training and Digital Hub project,,Los Angeles,California,Journalism/Journalistic Excellence/Local,$75K - $200K
138,2016-53463,Wayne State University,350000,2017-01-01 00:00:00,2019-03-31 00:00:00,Detroit Journalism Cooperative: WDET,,Detroit,Michigan,Journalism/Journalistic Excellence/Local,> $250K
139,2016-53464,Regents of the University of Michigan,150000,2017-01-01 00:00:00,2019-01-31 00:00:00,Detroit Journalism Cooperative: Michigan Radio,,Ann Arbor,Michigan,Journalism/Journalistic Excellence/Local,$75K - $200K
140,2016-53471,Detroit Educational Television Foundation,150000,2017-01-01 00:00:00,2018-12-31 00:00:00,Detroit Journalism Cooperative: Detroit Public Television,,Wixom,Michigan,Journalism/Journalistic Excellence/Local,$75K - $200K
141,2016-53483,The Center for Michigan Inc.,700000,2017-01-01 00:00:00,2019-02-28 00:00:00,Detroit Journalism Cooperative: Bridge Magazine,,Ann Arbor,Michigan,Journalism/Journalistic Excellence/Local,> $250K
142,2016-53499,New Michigan Media,125000,2017-01-01 00:00:00,2018-12-31 00:00:00,Detroit Journalism Cooperative: Ethnic Community Engagement,,Detroit,Michigan,Journalism/Journalistic Excellence/Local,$75K - $200K
143,2016-53515,MinnPost,70000,2017-02-01 00:00:00,2017-11-01 00:00:00,Building a better CRM-CMS connector,,Minneapolis,Minnesota,Journalism/Journalistic Excellence/Local,< $75K
144,2016-53534,Long Beach Community Foundation,131600,2017-03-01 00:00:00,2019-01-31 00:00:00,Long Beach Journalism Collaborative,,Long Beach,California,Journalism/Journalistic Excellence/Local,$75K - $200K
147,2016-53567,Community Foundation for Southeast Michigan,350000,2017-01-02 00:00:00,2018-12-31 00:00:00,Detroit Journalism Cooperative: Detroit Local Journalism Engagement Fund,,Detroit,Michigan,Journalism/Journalistic Excellence/Local,> $250K
148,2016-53583,Chalkbeat Inc.,100000,2017-07-01 00:00:00,2018-07-01 00:00:00,Chalkbeat Detroit,,New York,New York,Journalism/Journalistic Excellence/Local,$75K - $200K
162,2017-53820,Arizona State University Foundation,1908000,2017-09-30 00:00:00,2020-12-31 00:00:00,Local TV Initiative: Reinventing Local TV News,,Tempe,Arizona,Journalism/Journalistic Excellence/Local,> $250K
169,2017-53883,The Carole Kneeland Project for Responsible Television Journalism,50000,2017-10-01 00:00:00,2019-09-30 00:00:00,The Kneeland Project 2018 & 2019 Conferences,,Austin,Texas,Journalism/Journalistic Excellence/Local,< $75K
176,2017-53998,The Miami Foundation,1249995,2016-12-19 00:00:00,2017-03-31 00:00:00,Knight News Match Initiative,,Miami,Florida,Journalism/Journalistic Excellence/Local,> $250K
177,2017-54035,"WHYY, Inc.",125000,2017-06-26 00:00:00,2019-05-14 00:00:00,WHYY's PlanPhilly,,Philadelphia,Pennsylvania,Journalism/Journalistic Excellence/Local,$75K - $200K
179,2017-54046,University Radio Foundation Inc,100000,2017-08-01 00:00:00,2019-05-31 00:00:00,,,Charlotte,North Carolina,Journalism/Journalistic Excellence/Local,$75K - $200K
185,2017-54124,The Corporation of Mercer University,2088462,2017-06-10 00:00:00,2021-06-30 00:00:00,Center for Collaborative Journalism,,Macon,Georgia,Journalism/Journalistic Excellence/Local,> $250K
193,2017-54343,The GroundTruth Project,100000,2017-08-01 00:00:00,2018-06-01 00:00:00,GroundTruth: Crossing the Divide,,Boston,Massachusetts,Journalism/Journalistic Excellence/Local,$75K - $200K
207,2017-54531,Mississippi News and Information Corporation,52400,2018-01-31 00:00:00,2019-07-31 00:00:00,Piloting Local Broadcast News Partnerships,,Ridgeland,Mississippi,Journalism/Journalistic Excellence/Local,< $75K
211,2017-54634,"News Revenue Hub, Inc.",110000,2017-07-28 00:00:00,2018-06-01 00:00:00,Building Capacity for News Match and Beyond,,San Diego,California,Journalism/Journalistic Excellence/Local,$75K - $200K
212,2017-54643,Institute for Nonprofit News,125000,2017-08-25 00:00:00,2018-02-23 00:00:00,News Match 2017,,Los Angeles,California,Journalism/Journalistic Excellence/Local,$75K - $200K
225,2017-54931,"Tpf Special Assets Fund dba The Lenfest Institute for Journalism, LLC",250000,2018-02-16 00:00:00,2019-03-29 00:00:00,Philadelphia Local News Innovation Grants,,Philadelphia,Pennsylvania,Journalism/Journalistic Excellence/Local,$200K - $250K
228,2017-55116,Latino Public Radio Consortium,75000,2017-10-15 00:00:00,2018-01-15 00:00:00,Restore public radio communications to Puerto Rico,,Lake Mary,Florida,Journalism/Journalistic Excellence/Local,< $75K
229,2017-55118,National Association of Hispanic Journalists,75000,2017-10-09 00:00:00,2018-10-09 00:00:00,Puerto Rico Emergency Communications Access and Journalism Initiative,,Washington,District of Columbia,Journalism/Journalistic Excellence/Local,< $75K
234,2017-55180,Voice of San Diego,70000,2018-01-31 00:00:00,2019-01-31 00:00:00,Voice of San Diego Audience Engagement,,San Diego,California,Journalism/Journalistic Excellence/Local,< $75K
237,2017-55264,The Center for Investigative Reporting,500000,2018-05-01 00:00:00,2020-05-01 00:00:00,Center for Investigative Reporting Local Journalism Collaboration,,Emeryville,California,Journalism/Journalistic Excellence/Local,> $250K
238,2017-55273,The GroundTruth Project,250000,2018-02-01 00:00:00,2020-02-01 00:00:00,Report for America,,Boston,Massachusetts,Journalism/Journalistic Excellence/Local,$200K - $250K
242,2018-55517,Trustees of Boston University,250000,2018-08-01 00:00:00,2020-01-31 00:00:00,BizLab Experiments for Local Public Radio,,Boston,Massachusetts,Journalism/Journalistic Excellence/Local,$200K - $250K
248,2018-55706,Institute for Nonprofit News,200000,2018-06-01 00:00:00,2019-03-01 00:00:00,INN Days & News Match 2018,,Los Angeles,California,Journalism/Journalistic Excellence/Local,$75K - $200K
