,organization,$,city,state,zip code,lat_long,latitude,longitude,category
0,100Reporters,8149.87,Washington,DC,20006,"[38.897244, -77.0413344]",38.897244,-77.0413344,< $17K
1,"Alabama Initiative for Independent Journalism, Inc.",24982.2,Birmingham,AL,35213-3836,"[33.5022594, -86.74666610000001]",33.5022594,-86.74666610000001,$17K - $25K
2,Alhambra Source,25000.0,Alhambra,CA,91801,"[34.0837958, -118.1181199]",34.0837958,-118.1181199,> $25K
3,Anthropocene Magazine,25000.0,Boulder,CO,80309,"[40.0103247, -105.2889726]",40.0103247,-105.2889726,> $25K
4,Arkansas Nonprofit News Network,16552.64,Little Rock,AR,72205,"[34.7486563, -92.3542193]",34.7486563,-92.3542193,< $17K
5,Aspen Journalism,25000.0,Aspen,CO,81611,"[39.1116318, -106.8650395]",39.1116318,-106.8650395,> $25K
6,Baltimore Brew,3685.0,Baltimore,MD,21210,"[39.3566383, -76.6354952]",39.3566383,-76.6354952,< $17K
7,Bay Nature Institute,25000.0,Berkeley,CA,94710,"[37.8645848, -122.2965778]",37.8645848,-122.2965778,> $25K
8,Belt Media Collaborative,17063.5,Cleveland,OH,44103,"[41.5214566, -81.6418656]",41.5214566,-81.6418656,$17K - $25K
9,BenitoLink.com,25000.0,Hollister,CA,95023,"[36.9119865, -121.3084088]",36.9119865,-121.3084088,> $25K
10,Better Government Association,25000.0,Chicago,IL,60606,"[41.8817767, -87.6371461]",41.8817767,-87.6371461,> $25K
11,Block Club Chicago,25000.0,Chicago,IL,60605,"[41.8703314, -87.62357420000001]",41.8703314,-87.62357420000001,> $25K
12,Borderzine/UTEP,14015.96,El Paso,TX,79968,"[31.77016069999999, -106.5047596]",31.77016069999999,-106.5047596,< $17K
13,Breckenridge Texan,80.0,Breckenridge,TX,76424,"[32.8084577, -98.88039250000001]",32.8084577,-98.88039250000001,< $17K
14,"Broward Bulldog Inc., DBA Florida Bulldog",22752.68,Fort Lauderdale,FL,33307,"[26.1407965, -80.1202017]",26.1407965,-80.1202017,$17K - $25K
15,Brown Impact Media Group/Flint Beat,5793.81,Flint,MI,48505,"[43.0686471, -83.6880257]",43.0686471,-83.6880257,< $17K
16,California Health Report,204.95,Oakland,CA,94612,"[37.8113159, -122.2682245]",37.8113159,-122.2682245,< $17K
17,CALmatters,25000.0,Sacramento,CA,95814,"[38.5824933, -121.4941738]",38.5824933,-121.4941738,> $25K
18,Capital of Texas Media Foundation,4422.0,Austin,TX,78767,"[30.2694174, -97.739694]",30.2694174,-97.739694,< $17K
19,Carolina Public Press,25000.0,Asheville,NC,28801,"[35.5927461, -82.5564559]",35.5927461,-82.5564559,> $25K
20,Cascade Public Media/Crosscut,25000.0,Seattle,WA,98109,"[47.6288591, -122.3456919]",47.6288591,-122.3456919,> $25K
21,Center for Public Integrity,25000.0,Washington,DC,20006,"[38.897244, -77.0413344]",38.897244,-77.0413344,> $25K
22,Center for Responsive Politics,25000.0,Washington,DC,20005,"[38.908229, -77.03053899999999]",38.908229,-77.03053899999999,> $25K
23,Center for Sustainable Journalism,24210.25,Kennesaw,GA,30144,"[34.0235914, -84.59557319999999]",34.0235914,-84.59557319999999,$17K - $25K
24,Centro de Periodismo Investigativo,25000.0,San Juan,PR,00914,"[18.4511126, -66.0567835]",18.4511126,-66.0567835,> $25K
25,Chalkbeat,25000.0,New York,NY,10001,"[40.75368539999999, -73.9991637]",40.75368539999999,-73.9991637,> $25K
26,"Chapman Hyperlocal Media, Inc.",22593.9,Norwalk,CT,06852,"[41.1242913, -73.397746]",41.1242913,-73.397746,$17K - $25K
27,Charlottesville Tomorrow,25000.0,Charlottesville,VA,22902,"[37.971281, -78.4865602]",37.971281,-78.4865602,> $25K
28,City Bureau NFP,16898.1,Chicago,IL,60637,"[41.7805099, -87.603826]",41.7805099,-87.603826,< $17K
29,City Limits,25000.0,New York,NY,10027,"[40.8138912, -73.96243270000001]",40.8138912,-73.96243270000001,> $25K
30,CivicStory,20678.34,Summit,NJ,07901,"[40.7146376, -74.3646122]",40.7146376,-74.3646122,$17K - $25K
31,Civil Eats,25000.0,New York,NY,10018,"[40.755322, -73.9932872]",40.755322,-73.9932872,> $25K
32,Conn. Health Investigative Team,14507.0,New Haven,CT,06515,"[41.3266814, -72.9637728]",41.3266814,-72.9637728,< $17K
33,Connecticut News Project / Connecticut Mirror,25000.0,Hartford,CT,06106,"[41.743111, -72.70380469999999]",41.743111,-72.70380469999999,> $25K
34,Current,14843.0,Takoma Park,MD,20912,"[38.9797389, -77.004626]",38.9797389,-77.004626,< $17K
35,Daily Yonder (Center for Rural Strategies),25000.0,Knoxville,TN,37917,"[36.0059438, -83.91619349999999]",36.0059438,-83.91619349999999,> $25K
36,Delaware Currents,6070.74,Port Jervis,NY,12771,"[41.3662803, -74.6283316]",41.3662803,-74.6283316,< $17K
37,East Lansing Info (ELi),25000.0,East Lansing,MI,48823,"[42.758734, -84.44877199999999]",42.758734,-84.44877199999999,> $25K
38,ecoRI News,25000.0,Providence,RI,02903,"[41.816736, -71.40915629999999]",41.816736,-71.40915629999999,> $25K
39,EdSource,22533.0,Oakland,CA,94612,"[37.8113159, -122.2682245]",37.8113159,-122.2682245,$17K - $25K
40,Energy News Network,3817.68,Saint Paul,MN,55118,"[44.8973189, -93.1027146]",44.8973189,-93.1027146,< $17K
41,Ensia,6841.94,St. Paul,MN,55108,"[44.9790183, -93.18557349999999]",44.9790183,-93.18557349999999,< $17K
42,FairWarning,22802.0,Pasadena,CA,91105,"[34.1406082, -118.1678543]",34.1406082,-118.1678543,$17K - $25K
43,First Look Media Works,25000.0,New York,NY,01011,"[42.2987566, -72.9696779]",42.2987566,-72.9696779,> $25K
44,Florida Center for Investigative Reporting,18491.5,St. Petersburg,FL,33734,"[27.8030165, -82.646785]",27.8030165,-82.646785,$17K - $25K
45,Food and Environment Reporting Network,25000.0,New York,NY,10036,"[40.7602619, -73.9932872]",40.7602619,-73.9932872,> $25K
46,Fostering Media Connections,25000.0,Los Angeles,CA,90014,"[34.0434783, -118.2519314]",34.0434783,-118.2519314,> $25K
47,Frontier Media Group,25000.0,jenks,OK,74037,"[35.9952581, -95.97268319999999]",35.9952581,-95.97268319999999,> $25K
