Organization, Amount Submitted ," Total Eligible Payment (includes bonuses and side funds, not direct funds) ", Match Amount Approved , Bonus Amount Approved , Jonathan Logan Family Foundation (side fund , Rita Allen (side fund) , Wyncote (direct) , Zellerbach (direct) , Gates Family Foundation/Colorado Media Project (direct)  ,Goal-Based Bonus 1 (100 new individual donors), Bonus 1 ,Goal-Based Bonus 2 (individual donors increase 2017 vs 2018), Bonus 2 ,Goal-Based Bonus 3 (NewsMatch cap increase 2017 vs 2018 ), Bonus 3 ,Primary Contact Name:,Primary Contact Email:,Primary Contact Phone Number:,Street Address:,City:,State:,Zip Code:,What is your EIN?,Fiscal Sponsor - Organization Name,Fiscal Sponsor - EIN,Fiscal Sponsor - Primary Contact Name,Fiscal Sponsor - Primary Contact Email,Fiscal Sponsor - Mailing Address,Fiscal Sponsor - Website,,,,,,
100Reporters," $8,149.87 "," $8,149.87 "," $8,149.87 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Diana Jean Schemo,djschemo@100R.org,202-683-6485,"910 17th St., NW, Suite 400",Washington,DC,20006,900702671,,,,,,,,,,,,
"Alabama Initiative for Independent Journalism, Inc."," $24,982.20 "," $35,782.20 "," $24,982.20 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Carol F. Nunnelley,cnunnelley@birminghamwatch.org,205-870-9686,147 Glenview Drive,Birmingham,AL,35213-3836,473524117,,,,,,,,,,,,
Alhambra Source," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Dominic Tovar,dominic.tovar@alhambrasource.org,(626) 622-3701,"317 W. Main St, 319",Alhambra,CA,91801,,Community Partners,954302067,"Community Partners, Accounts Payable Department",ap@communitypartners.org,"1000 North Alameda Street, Suite 240, Los Angeles, CA 90012",https://communitypartners.org/,,,,,,
Anthropocene Magazine," $25,000.00 "," $36,500.00 "," $25,000.00 "," $7,500.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Kathryn Kohm,kathy.kohm@futureearth.org,(206) 427-0230,"Future Earth, 608 University of Colorado, Boulder",Boulder,CO,80309,,Natural Capitalism Solutions,141901877,Isabel Nuesse,accounting@natcapsolutions.org,"11823 N. 75th St,  Longmont, CO 80503",https://natcapsolutions.org/,,,,,,
Arkansas Nonprofit News Network," $16,552.64 "," $27,352.64 "," $16,552.64 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Lindsey Millar,lindseymillar@arknews.org,(501) 804-0963,107 Valmar St.,Little Rock,AR,72205,,"Compassion Works for All, Inc.",550895373,Morgan Leyenberger ,morgan@compassionarkansas.org ,Po Box 7708,https://www.compassionworksforall.org/,,,,,,
Aspen Journalism," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   ," $1,500.00 ", No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Brent Gardner-Smith,brent@aspenjournalism.org,970-948-1930,1280 Ute Avenue Suite 4,Aspen,CO,81611,352400162,,,,,,,,,,,,
Baltimore Brew," $3,685.00 "," $6,185.00 "," $3,685.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Fern Shen,fern.shen@gmail.com,410-802-4990,623 West University Pkwy.,Baltimore,MD,21210,, , , , , , ,,,,,,
Bay Nature Institute," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", No , $-   , N/A , $-   ,Eric Simons,eric@baynature.org,5105288550 x104,1328 6th Street #2,Berkeley,CA,94710,760744881,,,,,,,,,,,,
Belt Media Collaborative," $17,063.50 "," $17,063.50 "," $17,063.50 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Anne Trubek,anne@beltmag.com,(216) 272-2813,1667 E 40th Street Suite 1G1,Cleveland,OH,44103,475386846,,,,,,,,,,,,
BenitoLink.com," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Leslie David,lesliedavid@benitolink.com,(831) 801-1356,829 San Benito St. Suite 200,Hollister,CA,95023,473324907,,,,,,,,,,,,
Better Government Association," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Kate Walsh,kwalsh@bettergov.org,312-821-9028,"223 West Jackson Blvd., Suite 300",Chicago,IL,60606,360802950,,,,,,,,,,,,
Block Club Chicago," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jen Sabella,jen@blockclubchi.org,(708) 752-5389,"1132 S Wabash Ave., 2nd Floor",Chicago,IL,60605,,Institute for Nonprofit News,272614911,Sue Cross,sue@inn.org,"714 W. Olympic Blvd., Suite 931, Los Angeles, CA  90015",https://inn.org,,,,,,
Borderzine/UTEP," $14,015.96 "," $24,815.96 "," $14,015.96 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Dino Chiecchi ,eechiecchi@utep.edu,575-642-2124,"500 W. University Ave., Cotton 104",El Paso,TX,79968,74600813,,,,,,,,,,,,
Breckenridge Texan, $80.00 , $80.00 , $80.00 , $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Tony Pilkington,tony.pilkington@breckenridgetexan.com,254-522-2228,2922 State Highway 67,Breckenridge,TX,76424,,Institute for Nonprofit News,272614911,Sue Cross,sue@inn.org,"714 W. Olympic Blvd. #931, Los Angeles, CA 90015",www.inn.org,,,,,,
"Broward Bulldog Inc., DBA Florida Bulldog"," $22,752.68 "," $25,252.68 "," $22,752.68 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Dan Christensen,danchristensen2@gmail.com,(954) 242-2822,PO Box 23763,Fort Lauderdale,FL,33307,270318157,,,,,,,,,,,,
