LION.ID,State,County,City,Organization,Website,Type,LION OutletsCounty
1,AL,Jefferson County,Birmingham,Birmingham Watch,birminghamwatch.org,Online News Organization,Jefferson
2,AL,Colbert County,Muscle Shoals,The Shoals Insider,shoalsinsider.com,Online News Organization,Colbert
3,AL,Jefferson County,Birmingham,Weld,weldbham.com,Online News Organization,Jefferson
4,AR,Pope County,Russellville,The Local Rundown,thelocalrundown.com,Online News Organization,Pope
5,AR,Sebastian County,Fort Smith,Inside Fort Smith,insidefortsmith.com,Online News Organization,Sebastian
6,AR,Hempstead County,Hope,Hempstead Herald,hempsteadherald.com,Online News Organization,Hempstead
7,AR,Drew County,Monticello,Monticello Live,monticellolive.com,Online News Organization,Drew
8,AR,Pope County,Russellville,River valley Leader,rivervalleyleader.com,Online News Organization,Pope
9,AR,Columbia County,Magnolia,Magnolia Reporter,magnoliareporter.com,Online News Organization,Columbia
10,AR,Drew County,Monticello,Seark Today,SEARKtododay.com,Online News Organization,Drew
11,AR,Drew County,Monticello,Saline River Chronicle,salineriverchronicle.com,Online News Organization,Drew
12,AR,Washington County,Fayetteville,Fayetteville Flyer,fayettevilleflyer.com,Online News Organization,Washington
13,AR,Hempstead County,Hope,Hope Prescott,hopeprescott.com,Online News Organization,Hempstead
14,AZ,Pima County,Tucson,Tucson Sentinel,tucsonsentinel.com,Online News Organization,Pima
15,AZ,Maricopa County,Phoenix,Arizona Center for Investigative Reporting,azcir.org,Online News Organization,Maricopa
16,AZ,Maricopa County,Mesa,My News Mesa,mynewsmesa.com,Online News Organization,Maricopa
17,CA,Los Angeles County,Long Beach,Everything Long Beach,everythinglonbeach.com,Online News Organization,Los Angeles
18,CA,Santa Barbara County,Santa Barbara,Noozhawk,noozhawk.com,Online News Organization,Santa Barbara
19,CA,San Diego County,San Diego,Times of San Diego,timesofsandiego.com,Online News Organization,San Diego
20,CA,San Diego County,Escondido,Escondido Grapevine,escondidograpevine.com,Online News Organization,San Diego
21,CA,Los Angeles County,Long Beach,OC Indy,ocindy.com,Online News Organization,Los Angeles
22,CA,Sacramento County,Sacramento,Voices: River City,voicesrivercity.com,Online News Organization,Sacramento
23,CA,Sacramento County,Sacramento,Cal Matters,calmatters.org,Online News Organization,Sacramento
24,CA,Sacramento County,Sacramento,Sacramento Press,sacramentopress.com,Online News Organization,Sacramento
25,CA,Riverside County,Menifee,Menifee 24-7,menifee247.com,Online News Organization,Riverside
26,CA,Los Angeles County,Los Angeles,Leimert Park Beat,leimertparkbeat.com,Online News Organization,Los Angeles
27,CA,Lake County,Lakeport,Lake County News,lakeconews.com,Online News Organization,Lake
28,CA,Alameda County,Oakland,California Health Report,calhealthreport.org,Online News Organization,Alameda
29,CA,Los Angeles County,Altadena,Altadena Now,altadena-now.com,Online News Organization,Los Angeles
30,CA,Los Angeles County,Pasadena,Pasadena Now,pasadenanow.com,Online News Organization,Los Angeles
31,CA,Los Angeles County,Culver City,Calbuzz,calbuzz.com,Online News Organization,Los Angeles
32,CA,Los Angeles County,Los Angeles,The Eastsider,theeastsiderla.com,Online News Organization,Los Angeles
33,CA,Riverside County,Cathedral City,Coachella Valley Independent,cvindependent.com,Online News Organization,Riverside
34,CA,Monterey County,Monterey,Voices of Monterey Bay,,Online News Organization,Monterey
35,CA,Mendocino County,Ukiah,Mendocino Voice,mendovoice.com,Online News Organization,Mendocino
36,CA,Alameda County,Berkeley,Berkeleyside,berkeleyside.com,Online News Organization,Alameda
37,CA,San Benito County,Hollister,Benito Link,benitolink.com,Online News Organization,San Benito
38,CA,Butte County,Chico,Chico Sol,chicosol.org,Online News Organization,Butte
39,CA,San Francisco County,San Francisco,San Francisco Public Press,sfpublicpress.org,Online News Organization,San Francisco
40,CA,Alameda County,Oakland,Edsource,edsource.org,Online News Organization,Alameda
41,CA,San Francisco County,San Francisco,Mission Local,missionlocal.com,Online News Organization,San Francisco
42,CA,Alameda County,Alameda,The Alamedan,thealamedan.org,Online News Organization,Alameda
43,CA,Contra Costa County,Antioch,East County Today,http://eastcountytoday.net/,Online News Organization,Contra Costa
44,CA,Orange County,Santa Ana,Voice of Orange County,voiceofoc.org,Online News Organization,Orange
45,CA,Los Angeles County,Los Angeles,Larchmont Buzz,larchmontbuzz.com,Online News Organization,Los Angeles
