,organization,city,county,state,lat_long,latitude,longitude
0,Alaska Star,Eagle River,Anchorage,AK,"[45.9171763, -89.2442988]",45.9171763,-89.2442988
1,Valdez Star,Valdez,Valdez-Cordova,AK,"[61.13083330000001, -146.3483334]",61.13083330000001,-146.3483334
2,Daily Sitka Sentinel,Sitka,Sitka,AK,"[57.0530556, -135.33]",57.0530556,-135.33
3,Anchorage Press,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
4,Wrangell Sentinel,Wrangell,Wrangell,AK,"[56.4708333, -132.3766666]",56.4708333,-132.3766666
5,The Seward Phoenix Log,Seward,Kenai Peninsula,AK,"[60.10416669999999, -149.4422222]",60.10416669999999,-149.4422222
6,Delta Wind,Delta Junction,Southeast Fairbanks,AK,"[64.0377778, -145.7322221]",64.0377778,-145.7322221
7,The Cordova Times,Cordova,Valdez-Cordova,AK,"[35.1598391, -89.761545]",35.1598391,-89.761545
8,The Bristol Bay Times/Dutch Harbor Fisherman,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
9,The Arctic Sounder,Anchorage,Anchorage,AK,"[61.2180556, -149.9002778]",61.2180556,-149.9002778
10,Petersburg Pilot,Petersburg,Petersburg,AK,"[37.2279279, -77.40192669999999]",37.2279279,-77.40192669999999
11,Homer News,Homer,Kenai,AK,"[47.5765754, -122.3101679]",47.5765754,-122.3101679
12,Frontiersman,Wasilla,Matanuska-Susitna,AK,"[61.5813889, -149.4394444]",61.5813889,-149.4394444
13,Chilkat Valley News,Haines,Haines,AK,"[59.2358333, -135.445]",59.2358333,-135.445
14,Capital City Weekly,Juneau,Juneau,AK,"[58.3019444, -134.4197221]",58.3019444,-134.4197221
15,The Nome Nugget,Nome,Nome,AK,"[64.5011111, -165.4063889]",64.5011111,-165.4063889
16,Ketchikan Daily News,Ketchikan,Ketchikan Gateway,AK,"[55.34222219999999, -131.6461112]",55.34222219999999,-131.6461112
17,Homer Tribune,Homer,Kenai,AK,"[47.5765754, -122.3101679]",47.5765754,-122.3101679
18,The Chugiak-Eagle River Star,Eagle River,Anchorage,AK,"[45.9171763, -89.2442988]",45.9171763,-89.2442988
19,Peninsula Clarion,Kenai,Kenai Peninsula,AK,"[60.55444439999999, -151.2583333]",60.55444439999999,-151.2583333
20,Kodiak Daily Mirror,Kodiak,Kodiak Island,AK,"[57.79000000000001, -152.4072221]",57.79000000000001,-152.4072221
