state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
AK,90670,Alaska Star,W,Eagle River,Anchorage,4018,Morris Communications Company,Private,4800
AK,90107,Valdez Star,W,Valdez,Valdez-Cordova,6044,"Revis, Lee",Private,2020
AK,50028,Daily Sitka Sentinel,D,Sitka,Sitka,4492,"Poulson, Thad",Private,2501
AK,50003,Anchorage Press,W,Anchorage,Anchorage,5813,Wick Communications,Private,20000
AK,20966,Wrangell Sentinel,W,Wrangell,Wrangell,3566,Loesch Ron,Private,1520
AK,20034,The Seward Phoenix Log,W,Seward,Kenai Peninsula,1069,All Alaska News Unlimited LLC,Private,750
AK,19009,Delta Wind,W,Delta Junction,Southeast Fairbanks,5504,TriDelta Inc,Private,
AK,18943,The Cordova Times,W,Cordova,Valdez-Cordova,6045,Native Village of Eyak,Private,969
AK,18776,The Bristol Bay Times/Dutch Harbor Fisherman,W,Anchorage,Anchorage,1050,Alaska Media LLC,Private,
AK,18654,The Arctic Sounder,W,Anchorage,Anchorage,1050,Alaska Media LLC,Private,2000
AK,17807,Petersburg Pilot,W,Petersburg,Petersburg,3566,Loesch Ron,Private,1834
AK,16625,Homer News,W,Homer,Kenai,4018,Morris Communications Company,Private,3000
AK,16263,Frontiersman,W,Wasilla,Matanuska-Susitna,5813,Wick Communications,Private,2932
AK,15568,Chilkat Valley News,W,Haines,Haines,6043,"Clayton, Kyle",Private,1200
AK,15427,Capital City Weekly,W,Juneau,Juneau,4018,Morris Communications Company,Private,30000
AK,14159,The Nome Nugget,W,Nome,Nome,3803,McGuire Nancy,Private,6000
AK,14158,Ketchikan Daily News,D,Ketchikan,Ketchikan Gateway,4445,Pioneer Printing Company Inc,Private,4117
AK,14157,Homer Tribune,W,Homer,Kenai,1050,Alaska Media LLC,Private,
AK,14155,The Chugiak-Eagle River Star,W,Eagle River,Anchorage,4018,Morris Communications Company,Private,4800
AK,12777,Peninsula Clarion,D,Kenai,Kenai Peninsula,1347,Black Press Group,Private,5710
AK,11875,Kodiak Daily Mirror,D,Kodiak,Kodiak Island,2107,Helen E Snedded Foundation,NA,2849
AK,11817,Juneau Empire,D,Juneau,Juneau,1347,Black Press Group,Private,4491
AK,11227,Fairbanks Daily News-Miner,D,Fairbanks,Fairbanks North Star,2107,Helen E Snedded Foundation,NA,13356
AK,10092,Alaska Dispatch News,D,Anchorage,Anchorage,6028,Ryan Binkley & Jason Evans,Private,33301
AL,90163,Birmingham Times,W,Birmingham,Jefferson,6050,Foundation for Progress in Journalism,Private,16500
AL,90001,Pelham Reporter,W,Columbiana,Shelby,1409,Boone Newspapers,Private,32497
AL,90000,Alabaster Reporter,W,Columbiana,Shelby,1409,Boone Newspapers,Private,32497
AL,50175,North Jackson Progress,W,Stevenson,Jackson,2615,"Glass, Larry",Private,6000
AL,50167,Coosa County News,W,Rockford,Coosa,4854,"Scarbrough, Lewis",Private,1700
AL,50157,Saint Clair Times The,W,Pell City,St. Clair,1855,Consolidated Publishing Co,Private,68000
AL,50150,Moundville Times,W,Moundville,Hale,5333,"Taylor, Larry",Private,1300
AL,50142,Mobile Beacon & Alabama Citizen,W,Mobile,Mobile,6046,"Mobile Beacon Publishing Co., Inc.",Private,
AL,50124,Speakin' Out Weekly,W,Huntsville,Madison,5057,"Smothers, William D.",Private,27000
AL,50104,Gadsden Messenger,W,Gadsden,Etowah,3769,"McCharthy, Chris",Private,8000
AL,50045,Auburn Villager,W,Auburn,Lee,2242,"Eddins, Don",Private,4000
AL,21576,Northport Gazette The,W,Northport,Tuscaloosa,1392,Bobo Peyton,Private,22000
AL,21562,Islander The,W,Foley,Baldwin,4270,Osteen Publishing Co,Private,1737
AL,21441,Western Star The,W,Bessemer,Jefferson,5491,Trib Publications,Private,4200
AL,21264,Call News,W,Citronelle,Mobile,2674,Gray Willie,Private,4550
AL,21065,Hartford News-Herald,W,Geneva,Geneva,4548,Pujol Printing and Publishing LLC,Private,2500
AL,20888,Wilcox Progressive Era,W,Camden,Wilcox,3631,M H Curl and Associates Inc,Private,2500
AL,20766,West Alabama Gazette,W,Millport,Lamar,1392,Bobo Peyton,Private,3500
AL,20704,Washington County News,W,Citronelle,Washington,2674,Gray Willie,Private,4075
AL,20582,Union Springs Herald,W,Union Springs,Bullock,5556,Union Springs Herald LLC,Private,2401
AL,20555,Tuskegee News The,W,Tuskegee,Macon,2037,Davis Gayle,Private,2800
AL,20378,Wetumpka Herald The,W,Alexander City,Elmore,1409,Boone Newspapers,Private,5800
AL,20216,Tri-City Ledger The,W,Flomaton,Escambia,5380,Thomas Joe.,Private,5300
AL,20198,Times-Record The,W,Fayette,Fayette,3896,Mid-South Management Company Inc,Private,5000
AL,20176,Thomasville Times The,W,Thomasville,Clarke,6049,"Cox, Jim",Private,3700
AL,20158,Tallassee Tribune The,W,Tallassee,Tallapoosa,1409,Boone Newspapers,Private,4200
AL,20071,South Alabamian The,W,Jackson,Clarke,6049,"Cox, Jim",Private,4258
AL,19932,Red Bay News The,W,Red Bay,Franklin,2827,Harden Rubidale,Private,4000
AL,19917,Randolph Leader The,W,Roanoke,Randolph,5185,"Randolph Publishers, Inc.",Private,7000
AL,19839,Citizen of East Alabama The,W,Phenix City,Lee & Russell,2374,Family Media Inc,Private,13500
AL,19787,Opp News The,W,Opp,Covington,4548,Pujol Printing and Publishing LLC,Private,5300
AL,19785,Onlooker The,W,Foley,Baldwin,4270,Osteen Publishing Co,Private,4600
AL,19644,Moulton Advertiser The,W,Moulton,Lawrence,4951,Shelton Family,Private,13673
AL,19518,Luverne Journal The,W,Luverne,Crenshaw,1409,Boone Newspapers,Private,2400
AL,19264,Hartselle Enquirer,W,Hartselle,Morgan,1409,Boone Newspapers,Private,6600
AL,19071,Elba Clipper The,W,Elba,Coffee,2759,H F Enterprises Inc.,Private,2650
AL,19013,Democrat-Reporter,W,Linden,Marengo,5286,Sutton Goodloe,Private,9385
AL,18976,Cullman Tribune The,W,Cullman,Cullman,6047,CullmanSense,Private,13400
AL,18900,Cleburne News The,W,Heflin,Cleburne,1855,Consolidated Publishing Co,Private,3000
AL,18852,Centreville Press The,W,Centreville,Bibb,5491,Trib Publications,Private,4357
AL,18771,Brewton Standard The,W,Brewton,Escambia,1409,Boone Newspapers,Private,3330
AL,18745,Blount Countian The,W,Oneonta,Blount,4677,Rice Rob,Private,19900
AL,18675,Baldwin Times The,W,Foley,Baldwin,4270,Osteen Publishing Co,Private,
AL,18650,Arab Tribune The,W,Arab,Marshall,4623,Reed Edwin,Private,6500
AL,18530,Sumter County Record-Journal,W,Livingston,Sumter,3801,McGraw Tommy,Private,5400
AL,18430,St. Clair News-Aegis,W,Pell City,St. Clair,6032,CNHI,Investment,5500
AL,18361,Southeast Sun,W,Enterprise,Coffee,4562,QST Publications Inc,Private,14662
AL,18235,Shelby County Reporter,W,Columbiana,Shelby,1409,Boone Newspapers,Private,32497
AL,18229,Standard & Times,W,Tuscumbia,Colbert,1940,Crawford Jim,Private,1000
AL,18158,Sand Mountain Reporter,W,Albertville,Marshall,5084,Southern Newspapers,Private,6897
AL,18143,Samson Ledger,W,Geneva,Geneva,4548,Pujol Printing and Publishing LLC,Private,0
AL,17821,Piedmont Journal,W,Anniston,Calhoun,1855,Consolidated Publishing Co,Private,3300
AL,17816,Pickens County Herald,W,Carrollton,Pickens,2933,Hershal Lake Publishing,Private,4027
AL,17596,Northwest Alabamian,W,Haleyville,Winston,3896,Mid-South Management Company Inc,Private,7578
AL,17546,North Jefferson News,W,Gardendale,Jefferson,6032,CNHI,Investment,2310
AL,17326,Montgomery Independent,W,Montgomery,Montgomery,4587,RAM Publications,Private,14872
AL,17311,Monroe Journal The,W,Monroeville,Monroe,1402,Bolton Newspapers Inc.,Private,19700
AL,17146,Marion Times-Standard,W,Marion,Perry,5491,Trib Publications,Private,2025
AL,17086,Madison Record The,W,Madison,Madison,1409,Boone Newspapers,Private,0
AL,17063,Lowndes Signal,W,Fort Deposit,Lowndes,1409,Boone Newspapers,Private,1900
