,grantee,city,latitude,longitude,lat_long
0,Philadelphia Inquirer,philadelphia,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
1,Miami Herald,miami,25.7616798,-80.1917902,"[25.7616798, -80.1917902]"
2,The Dallas Morning News,dallas,32.7766642,-96.79698789999999,"[32.7766642, -96.79698789999999]"
3,Mineapolis Star Tribune,mineapolis,44.977753,-93.2650108,"[44.977753, -93.2650108]"
4,Seattle Times,seattle,47.6062095,-122.3320708,"[47.6062095, -122.3320708]"
5,Milwaukee Journal Sentinel,milwaukee,43.0389025,-87.9064736,"[43.0389025, -87.9064736]"
6,Houston Chronicle,houston,29.7604267,-95.3698028,"[29.7604267, -95.3698028]"
7,Bay Area News Group,san francisco,37.7749295,-122.4194155,"[37.7749295, -122.4194155]"
8,Philadelphia Inquirer,philadelpha,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
9,Detroit Free Press,detroit,42.331427,-83.0457538,"[42.331427, -83.0457538]"
10,Sacramento Bee,sacramento,38.5815719,-121.4943996,"[38.5815719, -121.4943996]"
11,Omaha World-Herald,omaha,41.2565369,-95.9345034,"[41.2565369, -95.9345034]"
12,Pittsburgh Post-Gazette,pittsburgh ,40.44062479999999,-79.9958864,"[40.44062479999999, -79.9958864]"
13,Los Angeles Times,los angeles,34.0522342,-118.2436849,"[34.0522342, -118.2436849]"
14,Indianapolis Star,indianapolis,39.768403,-86.158068,"[39.768403, -86.158068]"
15,Charlotte Observer,charlotte,35.2270869,-80.8431267,"[35.2270869, -80.8431267]"
16,Newsday,new york,40.7127753,-74.0059728,"[40.7127753, -74.0059728]"
17,UNC Henderson,henderson,36.0395247,-114.9817213,"[36.0395247, -114.9817213]"
18,UNC Whiteville,whiteville,34.3387802,-78.7030721,"[34.3387802, -78.7030721]"
19,UNC Charlotte,Charlotte,35.2270869,-80.8431267,"[35.2270869, -80.8431267]"
20,UNC Southern Pines,Southern Pines,35.1740471,-79.3922539,"[35.1740471, -79.3922539]"
21,UNC Durham,Durham,35.9940329,-78.898619,"[35.9940329, -78.898619]"
22,UNC Wilmington,Wilmington,34.2103894,-77.8868117,"[34.2103894, -77.8868117]"
23,UNC Research Triangle,Research Triangle,35.8991678,-78.86364019999999,"[35.8991678, -78.86364019999999]"
24,UNC Raleigh,Raleigh,35.7795897,-78.6381787,"[35.7795897, -78.6381787]"
25,LUNC ittle Rock,Little Rock,34.7464809,-92.28959479999999,"[34.7464809, -92.28959479999999]"
26,UNC Asheville,Asheville,35.5950581,-82.5514869,"[35.5950581, -82.5514869]"
27,UNC Winston-Salem,Winston-Salem,36.09985959999999,-80.244216,"[36.09985959999999, -80.244216]"
28,UNC Richmond,Richmond,37.5407246,-77.4360481,"[37.5407246, -77.4360481]"
29,UNC Savannah,Savannah,32.0808989,-81.091203,"[32.0808989, -81.091203]"
30,UNC Myrtle Beach,Myrtle Beach,33.6890603,-78.8866943,"[33.6890603, -78.8866943]"
31,UNC Charleston,Charleston,32.7764749,-79.93105120000001,"[32.7764749, -79.93105120000001]"
32,Major Metro,Philadelphia,39.9525839,-75.1652215,"[39.9525839, -75.1652215]"
33,Major Metro,Miami,25.7616798,-80.1917902,"[25.7616798, -80.1917902]"
34,Major Metro,Dallas,32.7766642,-96.79698789999999,"[32.7766642, -96.79698789999999]"
35,Major Metro,Minneapolis,44.977753,-93.2650108,"[44.977753, -93.2650108]"
36,Major Metro,Seattle,47.6062095,-122.3320708,"[47.6062095, -122.3320708]"
37,Major Metro,Milwaukee,43.0389025,-87.9064736,"[43.0389025, -87.9064736]"
38,Major Metro,Houston,29.7604267,-95.3698028,"[29.7604267, -95.3698028]"
39,Major Metro,San Jose,37.3382082,-121.8863286,"[37.3382082, -121.8863286]"
40,Major Metro,Sacramento,38.5815719,-121.4943996,"[38.5815719, -121.4943996]"
41,Major Metro,Omaha,41.2565369,-95.9345034,"[41.2565369, -95.9345034]"
42,Major Metro,Pittsburgh,40.44062479999999,-79.9958864,"[40.44062479999999, -79.9958864]"
43,Major Metro,Detroit,42.331427,-83.0457538,"[42.331427, -83.0457538]"
