grantee,city,lat_long,latitude,longitude
Philadelphia Inquirer,philadelphia,,,
Miami Herald,miami,,,
The Dallas Morning News,dallas,,,
Mineapolis Star Tribune,mineapolis,,,
Seattle Times,seattle,,,
Milwaukee Journal Sentinel,milwaukee,,,
Houston Chronicle,houston,,,
Bay Area News Group,san francisco,,,
Philadelphia Inquirer,philadelpha,,,
Detroit Free Press,detroit,,,
Sacramento Bee,sacramento,,,
Omaha World-Herald,omaha,,,
Pittsburgh Post-Gazette,pittsburgh ,,,
Los Angeles Times,los angeles,,,
Indianapolis Star,indianapolis,,,
Charlotte Observer,charlotte,,,
Newsday,new york,,,
UNC Henderson,henderson,,,
UNC Whiteville,whiteville,,,
UNC Charlotte,Charlotte,,,
UNC Southern Pines,Southern Pines,,,
UNC Durham,Durham,,,
UNC Wilmington,Wilmington,,,
UNC Research Triangle,Research Triangle,,,
UNC Raleigh,Raleigh,,,
LUNC ittle Rock,Little Rock,,,
UNC Asheville,Asheville,,,
UNC Winston-Salem,Winston-Salem,,,
UNC Richmond,Richmond,,,
UNC Savannah,Savannah,,,
UNC Myrtle Beach,Myrtle Beach,,,
UNC Charleston,Charleston,,,
Major Metro,Philadelphia,,,
Major Metro,Miami,,,
Major Metro,Dallas,,,
Major Metro,Minneapolis,,,
Major Metro,Seattle,,,
Major Metro,Milwaukee,,,
Major Metro,Houston,,,
Major Metro,San Jose,,,
Major Metro,Sacramento,,,
Major Metro,Omaha,,,
Major Metro,Pittsburgh,,,
Major Metro,Detroit,,,
Major Metro,Los Angeles,,,
Major Metro,Indianapolis,,,
Major Metro,Melville,,,
Major Metro,Charlotte,,,
Poynter,Detroit,,,
Poynter,Melville,,,
Poynter,Philadelphia,,,
Poynter,Anchorage,,,
Poynter,Beaver,,,
Poynter,Elyria,,,
Poynter,Crystal River,,,
Poynter,Louisville,,,
Poynter,Denver,,,
Poynter,Durango,,,
Poynter,Lawrence,,,
Poynter,Manchester,,,
Poynter,Charleston,,,
Poynter,Davenport,,,
Poynter,Reading,,,
Poynter,Sandusky,,,
Poynter,Springfield,,,
Poynter,Salem,,,
Poynter,St. Petersburg,,,
Poynter,Tyler,,,
Poynter,Norfolk,,,
Poynter,Buffalo,,,
Poynter,New London,,,
Poynter,El Paso,,,
Poynter,Fort Collins,,,
Poynter,Fargo,,,
Poynter,Greeley,,,
Poynter,Columbia,,,
Poynter,Kansas City,,,
Poynter,Pasadena,,,
Poynter,Washington,,,
Poynter,Harrisburg,,,
Poynter,Tampa,,,
Gannett-McClatchy,Wilmington,,,
Gannett-McClatchy,Westchester County,,,
Gannett-McClatchy,Louisville,,,
Gannett-McClatchy,Rochester,,,
Gannett-McClatchy,Asbury Park,,,
Gannett-McClatchy,Bergen County,,,
Gannett-McClatchy,Phoenix,,,
Gannett-McClatchy,Cincinnati,,,
Gannett-McClatchy,Lexington,,,
Gannett-McClatchy,Fort Worth,,,
Gannett-McClatchy,Miami,,,
Gannett-McClatchy,Sacramento,,,
Gannett-McClatchy,Columbia,,,
Gannett-McClatchy,Raleigh,,,
Gannett-McClatchy,Washington,,,
Gannett-McClatchy,Kansas City,,,
ASU,new york,,,
ASU,san antonio,,,
ASU,Columbia,,,
ASU,spokane,,,
ASU,birmingham,,,
ASU,lake charles,,,
ASU,chicago,,,
ASU,san diego,,,
ASU,pheonix,,,
ASU,los angeles,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
